frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
797,33.208333333333336,pushup,7,2,1,2,1,0,0,13
799,33.291666666666664,pushup,7,2,1,2,1,0,0,13
801,33.375,pushup,7,2,1,2,1,0,0,13
803,33.458333333333336,pushup,7,2,1,2,1,0,0,13
805,33.541666666666664,pushup,7,2,1,2,1,0,0,13
807,33.625,pushup,7,2,1,2,1,0,0,13
809,33.708333333333336,pushup,7,2,1,2,1,0,0,13
811,33.791666666666664,pushup,7,2,1,2,1,0,0,13
813,33.875,pushup,7,2,1,2,1,0,0,13
815,33.958333333333336,pushup,7,2,1,2,1,0,0,13
817,34.041666666666664,pushup,7,2,1,2,1,0,0,13
819,34.125,pushup,7,2,1,2,1,0,0,13
821,34.208333333333336,pushup,7,2,1,2,1,0,0,13
823,34.291666666666664,pushup,7,2,1,2,1,0,0,13
825,34.375,pushup,7,2,1,2,1,0,0,13
827,34.458333333333336,pushup,7,2,1,2,1,0,0,13
829,34.541666666666664,pushup,7,2,1,2,1,0,0,13
831,34.625,pushup,7,2,1,2,1,0,0,13
833,34.708333333333336,pushup,7,2,1,2,1,0,0,13
835,34.791666666666664,pushup,7,2,1,2,1,0,0,13
837,34.875,pushup,7,2,1,2,1,0,0,13
839,34.958333333333336,pushup,7,2,1,2,1,0,0,13
841,35.041666666666664,pushup,7,2,1,2,1,0,0,13
843,35.125,pushup,8,2,1,2,1,0,0,14
845,35.208333333333336,pushup,8,2,1,2,1,0,0,14
847,35.291666666666664,pushup,8,2,1,2,1,0,0,14
849,35.375,pushup,8,2,1,2,1,0,0,14
851,35.458333333333336,pushup,8,2,1,2,1,0,0,14
853,35.541666666666664,pushup,8,2,1,2,1,0,0,14
855,35.625,pushup,8,2,1,2,1,0,0,14
857,35.708333333333336,pushup,8,2,1,2,1,0,0,14
859,35.791666666666664,pushup,8,2,1,2,1,0,0,14
861,35.875,pushup,8,2,1,2,1,0,0,14
863,35.958333333333336,pushup,8,2,1,2,1,0,0,14
865,36.041666666666664,pushup,8,2,1,2,1,0,0,14
867,36.125,pushup,8,2,1,2,1,0,0,14
869,36.208333333333336,pushup,8,2,1,2,1,0,0,14
871,36.291666666666664,pushup,8,2,1,2,1,0,0,14
873,36.375,pushup,8,2,1,2,1,0,0,14
875,36.458333333333336,pushup,8,2,1,2,1,0,0,14
877,36.541666666666664,pushup,8,2,1,2,1,0,0,14
879,36.625,pushup,8,2,1,2,1,0,0,14
881,36.708333333333336,pushup,8,2,1,2,1,0,0,14
883,36.791666666666664,pushup,8,2,1,2,1,0,0,14
885,36.875,pushup,8,2,1,2,1,0,0,14
887,36.958333333333336,pushup,8,2,1,2,1,0,0,14
889,37.041666666666664,pushup,8,2,1,2,1,0,0,14
891,37.125,pushup,8,2,1,2,1,0,0,14
893,37.208333333333336,pushup,8,2,1,2,1,0,0,14
895,37.291666666666664,pushup,8,2,1,2,1,0,0,14
897,37.375,pushup,8,2,1,2,1,0,0,14
899,37.458333333333336,pushup,8,2,1,2,1,0,0,14
901,37.541666666666664,pushup,8,2,1,2,1,0,0,14
903,37.625,pushup,8,2,1,2,1,0,0,14
905,37.708333333333336,pushup,9,2,1,2,1,0,0,15
907,37.791666666666664,pushup,9,2,1,2,1,0,0,15
909,37.875,pushup,9,2,1,2,1,0,0,15
911,37.958333333333336,pushup,9,2,1,2,1,0,0,15
913,38.041666666666664,pushup,9,2,1,2,1,0,0,15
915,38.125,pushup,9,2,1,2,1,0,0,15
917,38.208333333333336,pushup,9,2,1,2,1,0,0,15
919,38.291666666666664,pushup,9,2,1,2,1,0,0,15
921,38.375,pushup,9,2,1,2,1,0,0,15
923,38.458333333333336,pushup,9,2,1,2,1,0,0,15
925,38.541666666666664,pushup,9,2,1,2,1,0,0,15
927,38.625,pushup,9,2,1,2,1,0,0,15
929,38.708333333333336,pushup,9,2,1,2,1,0,0,15
931,38.791666666666664,pushup,9,2,1,2,1,0,0,15
933,38.875,pushup,9,2,1,2,1,0,0,15
935,38.958333333333336,pushup,9,2,1,2,1,0,0,15
937,39.041666666666664,pushup,9,2,1,2,1,0,0,15
939,39.125,pushup,9,2,1,2,1,0,0,15
941,39.208333333333336,pushup,9,2,1,2,1,0,0,15
943,39.291666666666664,pushup,9,2,1,2,1,0,0,15
945,39.375,pushup,9,2,1,2,1,0,0,15
947,39.458333333333336,pushup,9,2,1,2,1,0,0,15
949,39.541666666666664,pushup,9,2,1,2,1,0,0,15
951,39.625,pushup,9,2,1,2,1,0,0,15
953,39.708333333333336,pushup,9,2,1,2,1,0,0,15
955,39.791666666666664,pushup,9,2,1,2,1,0,0,15
957,39.875,pushup,9,2,1,2,1,0,0,15
959,39.958333333333336,pushup,9,2,1,2,1,0,0,15
